SampleID,Condition,Tissue,Histone,CellSet,Replicate,bamReads,Peaks,PeakCaller,peakFormat,ScoreCol
WA09_CTd0_K4me3_1,CTd0,WA09,K4me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd0_K4me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K4me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K4me3_2,CTd0,WA09,K4me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd0_K4me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K4me3_2_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K4me3_3,CTd0,WA09,K4me3,BM07,3,data_for_import/CUT&Tag/bam/WA09_CTd0_K4me3_3.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K4me3_3_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K4me3_4,CTd0,WA09,K4me3,BM08,4,data_for_import/CUT&Tag/bam/WA09_CTd0_K4me3_4.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K4me3_4_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K4me3_1,CTd120,WA09,K4me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd120_K4me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K4me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K4me3_2,CTd120,WA09,K4me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd120_K4me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K4me3_2_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K4me3_3,CTd120,WA09,K4me3,BM07,3,data_for_import/CUT&Tag/bam/WA09_CTd120_K4me3_3.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K4me3_3_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K4me3_4,CTd120,WA09,K4me3,BM08,4,data_for_import/CUT&Tag/bam/WA09_CTd120_K4me3_4.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K4me3_4_SeacrPeak.bed,bed,bed,5
WA09_CTd180_K4me3_1,CTd180,WA09,K4me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd180_K4me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd180_K4me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd180_K4me3_2,CTd180,WA09,K4me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd180_K4me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd180_K4me3_2_SeacrPeak.bed,bed,bed,5
C27_CTd0_K4me3_1,CTd0,C27,K4me3,C27_BM1,1,data_for_import/CUT&Tag/bam/C27_CTd0_K4me3_1.bam,data_for_import/CUT&Tag/peak/C27_CTd0_K4me3_1_SeacrPeak.bed,bed,bed,5
C27_CTd0_K4me3_2,CTd0,C27,K4me3,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd0_K4me3_2.bam,data_for_import/CUT&Tag/peak/C27_CTd0_K4me3_2_SeacrPeak.bed,bed,bed,5
C27_CTd120_K4me3_1,CTd120,C27,K4me3,C27_BM1,1,data_for_import/CUT&Tag/bam/C27_CTd120_K4me3_1.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K4me3_1_SeacrPeak.bed,bed,bed,5
C27_CTd120_K4me3_2,CTd120,C27,K4me3,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd120_K4me3_2.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K4me3_2_SeacrPeak.bed,bed,bed,5
C27_CTd120_K4me3_3,CTd120,C27,K4me3,C27_BM3,3,data_for_import/CUT&Tag/bam/C27_CTd120_K4me3_3.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K4me3_3_SeacrPeak.bed,bed,bed,5
C27_CTd180_K4me3_1,CTd180,C27,K4me3,C27_BM1,1,data_for_import/CUT&Tag/bam/C27_CTd180_K4me3_1.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K4me3_1_SeacrPeak.bed,bed,bed,5
C27_CTd180_K4me3_2,CTd180,C27,K4me3,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd180_K4me3_2.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K4me3_2_SeacrPeak.bed,bed,bed,5
C27_CTd180_K4me3_3,CTd180,C27,K4me3,C27_BM3,3,data_for_import/CUT&Tag/bam/C27_CTd180_K4me3_3.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K4me3_3_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K27ac_1,CTd0,WA09,K27ac,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd0_K27ac_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K27ac_1_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K27ac_2,CTd0,WA09,K27ac,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd0_K27ac_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K27ac_2_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K27ac_3,CTd0,WA09,K27ac,BM07,3,data_for_import/CUT&Tag/bam/WA09_CTd0_K27ac_3.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K27ac_3_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K27ac_4,CTd0,WA09,K27ac,BM08,4,data_for_import/CUT&Tag/bam/WA09_CTd0_K27ac_4.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K27ac_4_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K27ac_1,CTd120,WA09,K27ac,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd120_K27ac_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K27ac_1_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K27ac_2,CTd120,WA09,K27ac,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd120_K27ac_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K27ac_2_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K27ac_3,CTd120,WA09,K27ac,BM07,3,data_for_import/CUT&Tag/bam/WA09_CTd120_K27ac_3.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K27ac_3_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K27ac_4,CTd120,WA09,K27ac,BM08,4,data_for_import/CUT&Tag/bam/WA09_CTd120_K27ac_4.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K27ac_4_SeacrPeak.bed,bed,bed,5
WA09_CTd180_K27ac_1,CTd180,WA09,K27ac,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd180_K27ac_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd180_K27ac_1_SeacrPeak.bed,bed,bed,5
WA09_CTd180_K27ac_2,CTd180,WA09,K27ac,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd180_K27ac_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd180_K27ac_2_SeacrPeak.bed,bed,bed,5
C27_CTd0_K27ac_1,CTd0,C27,K27ac,C27_BM1,1,data_for_import/CUT&Tag/bam/C27_CTd0_K27ac_1.bam,data_for_import/CUT&Tag/peak/C27_CTd0_K27ac_1_SeacrPeak.bed,bed,bed,5
C27_CTd0_K27ac_2,CTd0,C27,K27ac,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd0_K27ac_2.bam,data_for_import/CUT&Tag/peak/C27_CTd0_K27ac_2_SeacrPeak.bed,bed,bed,5
C27_CTd120_K27ac_1,CTd120,C27,K27ac,C27_BM1,1,data_for_import/CUT&Tag/bam/C27_CTd120_K27ac_1.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K27ac_1_SeacrPeak.bed,bed,bed,5
C27_CTd120_K27ac_2,CTd120,C27,K27ac,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd120_K27ac_2.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K27ac_2_SeacrPeak.bed,bed,bed,5
C27_CTd120_K27ac_3,CTd120,C27,K27ac,C27_BM3,3,data_for_import/CUT&Tag/bam/C27_CTd120_K27ac_3.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K27ac_3_SeacrPeak.bed,bed,bed,5
C27_CTd180_K27ac_1,CTd180,C27,K27ac,C27_BM1,1,data_for_import/CUT&Tag/bam/C27_CTd180_K27ac_1.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K27ac_1_SeacrPeak.bed,bed,bed,5
C27_CTd180_K27ac_2,CTd180,C27,K27ac,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd180_K27ac_2.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K27ac_2_SeacrPeak.bed,bed,bed,5
C27_CTd180_K27ac_3,CTd180,C27,K27ac,C27_BM3,3,data_for_import/CUT&Tag/bam/C27_CTd180_K27ac_3.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K27ac_3_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K27me3_1,CTd0,WA09,K27me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd0_K27me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K27me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K27me3_2,CTd0,WA09,K27me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd0_K27me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K27me3_2_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K27me3_3,CTd0,WA09,K27me3,BM07,3,data_for_import/CUT&Tag/bam/WA09_CTd0_K27me3_3.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K27me3_3_SeacrPeak.bed,bed,bed,5
WA09_CTd0_K27me3_4,CTd0,WA09,K27me3,BM08,4,data_for_import/CUT&Tag/bam/WA09_CTd0_K27me3_4.bam,data_for_import/CUT&Tag/peak/WA09_CTd0_K27me3_4_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K27me3_1,CTd120,WA09,K27me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd120_K27me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K27me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K27me3_2,CTd120,WA09,K27me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd120_K27me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K27me3_2_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K27me3_3,CTd120,WA09,K27me3,BM07,3,data_for_import/CUT&Tag/bam/WA09_CTd120_K27me3_3.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K27me3_3_SeacrPeak.bed,bed,bed,5
WA09_CTd120_K27me3_4,CTd120,WA09,K27me3,BM08,4,data_for_import/CUT&Tag/bam/WA09_CTd120_K27me3_4.bam,data_for_import/CUT&Tag/peak/WA09_CTd120_K27me3_4_SeacrPeak.bed,bed,bed,5
WA09_CTd180_K27me3_1,CTd180,WA09,K27me3,BM01,1,data_for_import/CUT&Tag/bam/WA09_CTd180_K27me3_1.bam,data_for_import/CUT&Tag/peak/WA09_CTd180_K27me3_1_SeacrPeak.bed,bed,bed,5
WA09_CTd180_K27me3_2,CTd180,WA09,K27me3,BM02,2,data_for_import/CUT&Tag/bam/WA09_CTd180_K27me3_2.bam,data_for_import/CUT&Tag/peak/WA09_CTd180_K27me3_2_SeacrPeak.bed,bed,bed,5
C27_CTd0_K27me3_2,CTd0,C27,K27me3,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd0_K27me3_2.bam,data_for_import/CUT&Tag/peak/C27_CTd0_K27me3_2_SeacrPeak.bed,bed,bed,5
C27_CTd120_K27me3_1,CTd120,C27,K27me3,C27_BM1,1,data_for_import/CUT&Tag/bam/C27_CTd120_K27me3_1.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K27me3_1_SeacrPeak.bed,bed,bed,5
C27_CTd120_K27me3_2,CTd120,C27,K27me3,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd120_K27me3_2.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K27me3_2_SeacrPeak.bed,bed,bed,5
C27_CTd120_K27me3_3,CTd120,C27,K27me3,C27_BM3,3,data_for_import/CUT&Tag/bam/C27_CTd120_K27me3_3.bam,data_for_import/CUT&Tag/peak/C27_CTd120_K27me3_3_SeacrPeak.bed,bed,bed,5
C27_CTd180_K27me3_1,CTd180,C27,K27me3,C27_BM1,1,data_for_import/CUT&Tag/bam/C27_CTd180_K27me3_1.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K27me3_1_SeacrPeak.bed,bed,bed,5
C27_CTd180_K27me3_2,CTd180,C27,K27me3,C27_BM2,2,data_for_import/CUT&Tag/bam/C27_CTd180_K27me3_2.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K27me3_2_SeacrPeak.bed,bed,bed,5
C27_CTd180_K27me3_3,CTd180,C27,K27me3,C27_BM3,3,data_for_import/CUT&Tag/bam/C27_CTd180_K27me3_3.bam,data_for_import/CUT&Tag/peak/C27_CTd180_K27me3_3_SeacrPeak.bed,bed,bed,5